,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
170,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,26.7,33.3,80,568.8,191.3,10,10.8,92.3,10.8,12.5,86.7,5.83,9.17,63.6,0,0,0,0,0.83,0,0,1.25,Matches
171,Dénys Bain\5065d67d,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,39.5,41,96.3,870.5,278.5,10,10.5,95.2,21,21.5,97.7,8,8.5,94.1,0,0,0,0,1.5,0,0,2.5,Matches
172,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,22.8,32.5,70.3,662.6,455.1,6.14,6.32,97.2,8.25,8.25,100,8.25,17.7,46.5,0,0,0,0,0.18,0,0,0,Matches
173,Nedim Bajrami\f42d6c13,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,27.5,38.8,71,472.9,152.8,14.6,16.8,87.4,9.08,12,75.8,3.25,7.72,42,0.22,0.23,-0.01,2.41,1.8,2.06,0.44,3.95,Matches
174,Cédric Bakambu\0af4dcf0,cd COD,FW,Marseille,fr Ligue 1,30,1991,4,13,17.3,75.4,215.5,45.3,8,10.3,78,3,4.75,63.2,1.75,1.75,100,0,0.15,-0.15,1.5,0.5,0.5,0,1.25,Matches
175,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,27.4,38.5,71,499.7,205,10.6,13.2,80,12.4,13.5,91.3,3.53,10,35.3,0,0,0,0,1.18,0,0,1.47,Matches
176,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Milan,it Serie A,26,1994,5.6,49.3,55.7,88.5,882.1,166.6,23,26.4,87.2,18.8,20.4,92.1,6.25,7.14,87.5,0,0.09,-0.09,0.54,4.11,0.54,0,3.21,Matches
177,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,50,60.5,82.7,825.4,312,25.2,27.7,90.9,19.8,22.9,86.2,4.01,7.33,54.7,0.2,0.05,0.14,0.54,3.17,1.04,0.54,3.71,Matches
178,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,37.5,48.8,76.7,712.7,251.6,15.4,18.3,84.3,16.7,20.8,80.2,5,8.24,60.7,0.18,0.18,0.01,1.43,2.46,1.29,0.48,4.41,Matches
179,Dilane Bakwa\2b5a35e5,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,0.5,18,28,64.3,300,120,8,12,66.7,8,10,80,2,4,50,0,0,0,0,2,2,0,4,Matches
180,Tommaso Baldanzi\102e2599,it ITA,FW,Empoli,it Serie A,18,2003,0.2,25,35,71.4,315,0,20,25,80,0,0,,5,5,100,0,0,0,5,0,0,0,0,Matches
181,Alejandro Balde\5ccc9672,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,66.7,72.4,92.1,1026.7,207.1,34.8,34.8,100,27.6,30.5,90.6,2.38,4.29,55.6,0,0.05,-0.05,0.48,1.43,1.9,0.48,4.76,Matches
182,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,13.3,18.3,72.7,180,33.3,6.67,8.33,80,5,6.67,75,0,0,,0,0,0,1.67,0,0,0,0,Matches
183,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,it Serie A,26,1995,13.7,14.5,19.6,74,205.3,31.3,8.03,10.1,79.1,4.53,5.84,77.5,0.88,1.31,66.7,0.07,0.08,-0.01,0.73,1.09,0.29,0,0.8,Matches
184,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,15.5,20.6,75,252.9,65.5,7.74,9.68,80,6.45,7.74,83.3,0.97,2.26,42.9,0,0,0,0.32,1.29,0.97,0,2.9,Matches
185,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,34,44.6,76.3,577.4,229.6,16.5,18.5,89.4,14.1,18.2,77.5,2.62,6.04,43.4,0,0.02,-0.02,0.36,1.82,0.53,0.18,3.2,Matches
186,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,70.5,76.3,92.3,1455.3,374.8,22.9,24,95.7,36,37.5,96,11,13.9,79.6,0,0,0,0.09,3.3,0,0,2.74,Matches
187,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35,39.2,51.3,76.4,748.7,342.9,16.7,18.7,89.3,16.5,20.7,79.8,5.37,9.71,55.3,0.06,0.11,-0.06,1.23,2.69,1.11,0.83,3.94,Matches
188,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,it Serie A,24,1997,5,46.2,54.6,84.6,781.8,217.4,21,22.6,92.9,20.2,23.8,84.9,4,5.4,74.1,0,0.04,-0.04,0.8,2.6,1.6,0.8,3.6,Matches
189,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,5,10,50,75,7.5,2.5,5,50,2.5,3.75,66.7,0,1.25,0,0,0,0,0,0,0,0,0,Matches
190,Abdoulaye Bamba\7fecbcdb,ci CIV,DF,Angers,fr Ligue 1,31,1990,5.1,29,36.7,79.1,463.3,207.1,15.5,16.3,95.2,11.6,14.5,79.7,1.57,3.73,42.1,0,0.02,-0.02,0.39,1.18,0.59,0.39,2.35,Matches
191,Jonathan Bamba\b2bd0f6c,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27,32.1,42.6,75.5,524.2,179.7,18.3,21.5,85,9.41,11.2,84.1,3.33,6.96,47.9,0.07,0.13,-0.06,1.67,2.52,1.52,0.41,4.07,Matches
192,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,13.7,16.6,82.5,217.6,34,7.74,8.55,90.6,4.19,5,83.9,1.45,2.1,69.2,0.32,0.16,0.16,0.97,0.97,0.81,0.32,1.13,Matches
193,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,it Serie A,26,1995,21.7,26.4,34.8,75.7,464.9,160.7,13.1,14.6,90.2,10,12.8,78.3,2.72,5.67,48,0.14,0.14,0,1.52,2.03,1.98,0.74,4.1,Matches
194,Mattia Bani\0821331c,it ITA,DF,Genoa,it Serie A,27,1993,13.5,25,34,73.4,541.5,206.7,6.89,7.85,87.7,13.2,16.1,81.7,4.52,9.11,49.6,0,0,0,0.07,1.33,0,0,2.22,Matches
195,Simon Banza\be47b750,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,14.3,20.7,69,263.6,55,7.86,11.4,68.8,4.29,5,85.7,1.43,2.86,50,0.71,0.43,0.29,1.43,1.43,0,0,0.71,Matches
196,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,25.1,30.2,83.3,430.6,87.8,12.5,14.1,88.7,9.21,10.8,85.3,2.67,3.86,69.2,0.1,0.05,0.05,0.89,2.18,0.59,0.1,2.08,Matches
197,Antonín Barák\01efac19,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,26,34.2,42.7,80.3,514.8,145.1,18.8,21.9,86.1,12.2,14.7,82.9,1.88,2.92,64.5,0.15,0.13,0.02,1.08,2.73,0.92,0.04,4.12,Matches
198,Barbero\981c1863,es ESP,MFFW,Osasuna,es La Liga,22,1998,0.2,30,65,46.2,315,0,30,55,54.5,0,10,0,0,0,,0,0,0,5,0,0,0,0,Matches
199,Danilo Barbosa\0557ff4f,br BRA,DF,Nice,fr Ligue 1,25,1996,1,33,41,80.5,677,148,8,9,88.9,20,22,90.9,5,9,55.6,0,0,0,0,0,0,0,1,Matches
200,Barcia\0c717ae6,es ESP,DF,Granada,es La Liga,20,2000,0.8,10,27.5,36.4,225,2.5,2.5,3.75,66.7,5,13.8,36.4,2.5,10,25,0,0,0,0,0,0,0,0,Matches
201,Bradley Barcola\a0d55a09,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,21.4,30,71.3,276.9,105.2,13.1,16.6,79.2,5.17,6.9,75,1.03,2.07,50,0.34,0.34,0,2.41,1.38,1.72,0.69,3.79,Matches
202,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,52.7,64.8,81.4,929,354.8,23.9,26.4,90.5,23,27.4,84.1,4.97,8.58,57.9,0.07,0.08,-0.01,0.8,3.89,0.94,0.49,4.83,Matches
203,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,28.1,39.7,70.8,512.2,154.9,13.4,15.4,86.9,9.47,12.6,74.9,4.02,8.52,47.2,0.16,0.17,-0.02,2.06,2.54,1.06,0.16,3.07,Matches
204,Francesco Bardi\0acda699,it ITA,GK,Bologna,it Serie A,29,1992,2,17,25,68,453,263.5,5,5,100,5.5,5.5,100,6,14,42.9,0,0,0,0,0,0,0,0,Matches
205,Keidi Bare\03049c8c,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,45.5,52.8,86,838.7,202.2,19.5,21.2,92,19,21.4,88.7,5.94,8.18,72.6,0.06,0.06,0,0.55,4.85,0.36,0.06,3.82,Matches
206,Nicolò Barella\6928979a,it ITA,MF,Inter,it Serie A,24,1997,32.4,47.7,57,83.5,823.6,261.7,24.4,26.9,90.7,17.1,19.7,86.9,5.06,7.69,65.9,0.34,0.24,0.1,1.85,4.57,2.47,0.56,5.86,Matches
207,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,27.4,39.8,68.8,486.9,118.8,13.3,16.6,80.5,10.1,14,72.4,3.23,6.46,50,0,0.06,-0.06,0.52,2.19,0.94,0.1,3.33,Matches
208,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,eng Premier League,27,1993,2,52.5,63.5,82.7,857,190.5,29.5,32,92.2,15,19,78.9,6,7.5,80,0,0.35,-0.35,4,3,3.5,0,5.5,Matches
209,Aymen Barkok\a2a85828,ma MAR,MFFW,Eint Frankfurt,de Bundesliga,23,1998,1.8,28.9,39.4,73.2,545.6,276.1,11.7,15,77.8,12.2,16.1,75.9,3.89,6.11,63.6,0,0,0,0.56,3.89,0.56,0,7.78,Matches
210,Ashley Barnes\2691c772,eng ENG,FW,Burnley,eng Premier League,31,1989,9,14.4,22.1,65.3,208.6,59.7,8.78,11.7,75.2,4.11,6.56,62.7,1,2,50,0,0.18,-0.18,1.11,2,0.56,0.22,2.11,Matches
211,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,23.9,32.2,74.2,344.2,100.3,14.4,17.4,83,7.68,10.5,73.1,1.03,2.27,45.3,0.43,0.17,0.26,1.24,1.2,1.2,0.09,3.18,Matches
212,Antonio Barragán\487d9b09,es ESP,DF,Elche,es La Liga,34,1987,11.3,37.7,47.5,79.3,748.8,346.9,12.1,13.2,91.9,20.2,23.5,86,4.78,9.38,50.9,0,0.01,-0.01,0.18,2.3,0.35,0.09,3.36,Matches
213,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,20.1,27.4,73.1,313.2,96.1,10.5,12.9,80.9,7.54,10.2,73.9,1.41,2.36,59.6,0.1,0.11,-0.01,0.6,1.66,0.75,0.1,2.41,Matches
214,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,22.3,30.7,72.7,347.7,93.3,11.5,14.1,81.4,8.03,10.5,76.6,1.64,2.62,62.5,0.16,0.16,0,1.31,0.82,1.31,0.16,2.3,Matches
215,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,31.1,43.6,71.3,598.6,236.7,12.9,15.1,85,13.2,17,77.6,4.64,9.06,51.2,0,0.03,-0.03,0.39,1.77,0.17,0.06,2.49,Matches
216,Musa Barrow\e5bf73f3,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,30.1,39.6,76,543.4,130.3,15.7,17.5,89.4,9.49,12.3,77.1,4.26,8.31,51.3,0.25,0.19,0.07,1.86,2.07,1.86,0.51,2.87,Matches
217,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,38.3,50,76.5,732.6,323,16.1,17.8,90.2,14.3,17.8,80.5,5.65,9.57,59.1,0,0.04,-0.04,0.87,3.48,0.87,0.87,4.35,Matches
218,Marc Bartra\b742cc0d,es ESP,DF,Betis,es La Liga,30,1991,22.1,41.6,50.1,82.9,952.6,306.2,10.8,11.8,91.2,22.1,23.8,93,8.33,13.7,60.7,0,0,0,0.27,3.12,0.14,0,2.53,Matches
219,Daniele Baselli\ea06dd97,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,37.6,51.2,73.6,722.4,214.1,14.1,19.4,72.7,17.1,21.2,80.6,5.88,8.24,71.4,0,0,0,0.59,4.71,0,0,1.76,Matches
220,Daniele Baselli\ea06dd97,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,34.7,46.9,74,670,233.1,14.7,18.4,79.7,13.8,16.3,84.6,5.31,10,53.1,0.31,0.16,0.16,2.19,4.38,1.25,0.31,4.69,Matches
221,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,32.2,43.9,73.3,634.8,164.8,12.6,13.9,90.6,14.3,16.5,86.8,4.78,12.2,39.3,0.43,0.26,0.17,2.17,3.91,0.43,0.43,2.17,Matches
222,Toma Bašić\80556f08,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,35.1,41.6,84.5,568,88.2,18.2,20,90.8,13.9,16.1,86.9,2.29,3.76,61,0.18,0.07,0.11,0.55,1.74,0.09,0,1.01,Matches
223,Amine Bassi\ced1d98f,fr FRA,MF,Metz,fr Ligue 1,23,1997,2,43,59.5,72.3,802.5,287,19.5,25,78,17,19.5,87.2,6,12.5,48,0,0.2,-0.2,3.5,5,0,0,5,Matches
224,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,19.1,24.1,79.2,333.2,39.1,10,11.4,88,6.82,7.27,93.8,2.27,4.55,50,0,0,0,0,0.91,0,0,0.45,Matches
225,Alessandro Bastoni\75b86fb3,it ITA,DF,Inter,it Serie A,22,1999,25.7,62.3,70,89,1253.6,376.6,23,24.8,92.6,28.5,30.7,92.9,9.69,12.4,78.3,0.08,0.05,0.02,0.43,4.32,0.66,0.16,4.05,Matches
226,Simone Bastoni\1ac232b8,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,35,47.6,73.4,657.4,269.6,15.8,18.1,87.2,13.3,16.5,81.1,4.92,10.5,47,0.12,0.13,-0.02,1.77,3.23,1.18,0.51,3.62,Matches
227,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,25.6,33.8,75.9,347.5,86.3,16.3,20,81.3,6.25,7.5,83.3,1.25,3.13,40,0,0,0,0,1.25,0,0,2.5,Matches
228,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,33.2,40.2,82.7,553.7,159.8,16.4,18,91.1,12.1,14.6,82.7,3.74,5.5,68.1,0,0.01,-0.01,0.31,2.52,0.08,0,2.82,Matches
229,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,38.4,46.2,83,892.3,259,8.46,9.73,86.9,21.3,23.1,92.2,8.3,12.5,66.4,0,0,0,0.05,1.01,0,0,0.96,Matches
230,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,36.7,46.1,79.6,921.1,493.3,9.73,9.82,99.1,16.6,16.8,98.9,9.76,18.9,51.7,0,0,0,0,0.58,0,0,0,Matches
231,Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,38.9,48.4,80.3,855.5,314.9,10.7,12.6,85.5,20.5,23.3,88.1,7.3,11.9,61.5,0.08,0.02,0.06,0.21,3.03,0.29,0.17,3.24,Matches
232,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,de Bundesliga,33,1988,1,58,66,87.9,1080,186,23,25,92,24,26,92.3,9,11,81.8,0,0,0,0,4,0,0,1,Matches
233,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21,25.8,35.9,72,448.4,119.7,12,15,79.9,9.95,13.1,76,3.05,5.48,55.7,0.1,0.15,-0.06,0.95,2.1,1.1,0.29,3.29,Matches
234,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,es La Liga,26,1995,0.5,12,16,75,162,42,8,10,80,0,2,0,2,2,100,0,0,0,0,0,2,0,4,Matches
235,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,26.8,14.9,20.3,73.2,227.5,40.7,7.65,10.2,75.1,5.49,6.98,78.6,1.01,1.42,71.1,0.19,0.18,0.01,1.23,1.34,0.52,0,1.6,Matches
236,Paul Baysse\2515040a,fr FRA,DF,Bordeaux,fr Ligue 1,33,1988,0.1,20,40,50,310,60,10,10,100,10,20,50,0,10,0,0,0,0,0,0,0,0,0,Matches
237,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,11.5,18.9,60.8,183.7,63.7,5.56,8.15,68.2,2.96,4.81,61.5,1.48,2.22,66.7,0,0.07,-0.07,0.74,0,1.48,1.11,0.37,Matches
238,Bebé\d8712bf9,cv CPV,FWMF,Rayo Vallecano,es La Liga,31,1990,9.6,22,35.6,61.7,416.6,108.2,10.7,12.7,84.4,7.08,11.1,63.6,3.54,9.27,38.2,0.21,0.2,0.01,1.67,1.35,1.15,0.52,1.88,Matches
239,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,19.7,27.2,72.3,302.9,96.8,10.6,13.6,78.4,6.51,8.88,73.3,1.42,2.24,63.5,0.09,0.08,0,0.82,0.69,1.42,0.47,2.07,Matches
240,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,it Serie A,25,1996,34.8,32,40.2,79.7,607.5,227.6,12.2,13.4,90.8,15.3,17.8,85.8,3.76,7.3,51.6,0.03,0.02,0.01,0.26,1.18,0.14,0.03,1.47,Matches
241,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,41.7,53.8,77.6,861.6,323.8,14,16.3,85.5,20.3,24,84.8,6.99,11.8,59.1,0,0.04,-0.04,0.75,2.26,0.43,0.32,1.61,Matches
242,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,19.7,31.3,63.1,370.6,116.2,8.62,11.9,72.4,7.59,11.7,64.6,2.97,5.49,54.2,0.31,0.34,-0.03,2.31,1.18,2.21,1.54,2.41,Matches
243,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,40.6,49,82.8,838.8,251.9,13.5,14.9,91,20.7,23.1,89.8,5.86,10.1,58,0,0.02,-0.02,0.21,2.57,0.03,0.03,1.75,Matches
244,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,31.3,40,78.1,481.3,230,17.5,22.5,77.8,10,12.5,80,2.5,2.5,100,0,0.63,-0.63,3.75,2.5,2.5,0,3.75,Matches
245,Donny van de Beek\50dc94ce,nl NED,MF,Everton,eng Premier League,24,1997,5.4,37.4,44.6,83.8,580,166.1,19.3,21.9,88.1,14.8,16.3,90.9,1.85,4.26,43.5,0,0.02,-0.02,0.37,2.78,0.56,0,2.59,Matches
246,Asmir Begović\7b4de647,ba BIH,GK,Everton,eng Premier League,34,1987,3,11.7,28,41.7,533,428.3,0.67,0.67,100,3.33,3.33,100,7.67,23.7,32.4,0,0,0,0,0.33,0,0,0,Matches
247,Valon Behrami\d3d758d8,ch SUI,MF,Genoa,it Serie A,36,1985,3.5,14.6,20,72.9,250.6,69.4,5.71,7.14,80,6.29,7.71,81.5,1.43,2.57,55.6,0,0.03,-0.03,0.29,1.14,0,0,1.14,Matches
248,Kevin Behrens\30ae134d,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,23.1,33.5,69,340.4,70.7,13.5,18.2,74,7.64,10.7,71.2,1.45,2.55,57.1,0.36,0.35,0.02,1.09,1.64,0.91,0,2.73,Matches
249,Youcef Belaïli\1a248246,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,29.8,42.4,70.3,593.3,198,13.6,16.2,83.9,9.13,11.6,78.5,6.2,11.7,52.8,0.22,0.3,-0.09,2.17,3.59,1.74,0.11,3.7,Matches
