,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
740,Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,29.9,2.17,1.34,1.54,0.47,0.17,0.7,1.3,53.8,0.6,9.9,3.38,34.1,5.99,3.24,0.67,1.54,0.4,0,1.14,2.68,4.85,3.91,0.03,Matches
741,Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19,2002,0.6,6.67,3.33,3.33,1.67,1.67,0,0,,0,20,8.33,41.7,13.3,5,1.67,1.67,0,0,1.67,1.67,8.33,0,0,Matches
742,Berat Djimsiti\6eee05f1,al ALB,DF,Atalanta,it Serie A,28,1993,25.1,1.83,1.24,0.88,0.76,0.2,0.88,1.67,52.4,0.8,10.6,3.86,36.6,4.18,5.34,1.04,1.55,0.52,0,1.04,2.11,3.94,3.31,0.04,Matches
743,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,23.5,0,0,0,0,0,0,0,,0,0.13,0.04,33.3,0.13,0,0,0,0,0,0,0,0,0.04,0.13,Matches
744,Naïs Djouahra\3594a357,fr FRA,FWMF,Real Sociedad,es La Liga,21,1999,2.4,1.67,0.83,0.42,0.83,0.42,0.83,2.92,28.6,2.08,17.5,5.42,31,6.25,6.25,5,2.08,0,0,2.08,0.83,2.5,0.83,0,Matches
745,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,es La Liga,29,1992,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.17,Matches
746,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,eng Premier League,18,2003,0.4,5,5,0,2.5,2.5,0,5,0,5,47.5,12.5,26.3,10,17.5,20,0,0,0,0,2.5,7.5,0,0,Matches
747,Matt Doherty\d557d734,ie IRL,DF,Tottenham,eng Premier League,29,1992,9.7,1.86,1.24,0.93,0.82,0.1,0.72,1.24,58.3,0.52,12.4,4.33,35,5.15,5.57,1.65,2.47,0.21,0,2.27,1.75,3.61,1.55,0,Matches
748,Jeremy Doku\fffea3e5,be BEL,FWMF,Rennes,fr Ligue 1,19,2002,5.2,1.35,0.77,0.58,0.38,0.38,0.19,1.54,12.5,1.35,21.3,6.54,30.6,5.19,9.42,6.73,0.19,0,0,0.19,1.35,2.69,0,0,Matches
749,Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,fr Ligue 1,23,1997,16.6,0.96,0.6,0.36,0.3,0.3,0.36,0.96,37.5,0.6,18.2,4.16,22.8,1.57,8.13,8.49,0.96,0.06,0,0.9,0.48,1.45,1.02,0,Matches
750,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,es La Liga,30,1990,3.8,0,0,0,0,0,0,0,,0,0.26,0,0,0.26,0,0,0,0,0,0,0,0,0,0.53,Matches
751,Brandon Domingues\2a00c6c0,fr FRA,MFFW,Troyes,fr Ligue 1,21,2000,2.6,2.31,0.77,1.15,1.15,0,0.38,0.77,50,0.38,26.9,8.08,30,5,17.3,4.62,1.54,0,0,1.54,1.15,3.46,0,0,Matches
752,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,es La Liga,20,2001,3.8,1.84,1.32,1.84,0,0,0.53,1.32,40,0.79,12.6,4.47,35.4,8.95,3.68,0,1.32,0.26,0,1.05,1.84,3.68,6.05,0,Matches
753,Mario Dominguez\d709cd5c,es ESP,FW,Valencia,es La Liga,17,2004,0.3,0,0,0,0,0,0,0,,0,26.7,6.67,25,0,3.33,23.3,0,0,0,0,0,0,0,0,Matches
754,Nicolás Domínguez\20b3a502,ar ARG,MF,Bologna,it Serie A,23,1998,22.4,3.48,2.14,1.65,1.61,0.22,1.34,3.13,42.9,1.79,25.5,7.5,29.4,10.6,11.7,3.17,2.01,0.58,0.04,1.43,2.01,5.49,1.38,0.04,Matches
755,John Donald\5e95c000,es ESP,DF,Elche,es La Liga,20,2000,2,4,3,2,1.5,0.5,1,2.5,40,1.5,17,7,41.2,9,7.5,0.5,3,1.5,0,1.5,1.5,5.5,1.5,0,Matches
756,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,de Bundesliga,24,1997,1.3,1.54,0.77,0,1.54,0,0.77,1.54,50,0.77,21.5,3.85,17.9,5.38,10,6.15,2.31,0,0,2.31,1.54,3.08,0,0,Matches
757,Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,fr Ligue 1,24,1996,4.1,2.44,1.71,0.98,0.98,0.49,0.24,0.98,25,0.73,19,5.85,30.8,4.63,8.05,6.34,1.22,0,0,1.22,0.73,3.17,0.24,0,Matches
758,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.18,Matches
759,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,de Bundesliga,23,1998,25.8,3.29,2.09,1.94,1.2,0.16,0.85,1.78,47.8,0.93,19.7,5.74,29.1,8.53,10.1,1.09,1.9,0.5,0.04,1.4,2.48,5.78,1.4,0.04,Matches
760,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,eng Premier League,23,1997,34,1.68,1.09,1.15,0.41,0.12,0.68,1.03,65.7,0.35,6.53,2.53,38.7,3.85,2.26,0.41,1.44,0.82,0,0.62,1.15,2.82,3.44,0.09,Matches
761,Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,fr Ligue 1,29,1992,22.3,1.39,1.03,0.67,0.45,0.27,0.4,1.7,23.7,1.3,16.8,4.75,28.3,4.17,7.31,5.29,1.21,0,0,1.21,0.49,1.88,0.27,0,Matches
762,Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,2003,20,2.9,1.85,1.45,1.25,0.2,0.65,1.55,41.9,0.9,22.8,7.35,32.2,8.3,11.6,2.9,1.35,0.15,0,1.2,1.35,4.25,0.65,0.05,Matches
763,Lohann Doucet\dff0c299,fr FRA,MF,Nantes,fr Ligue 1,18,2002,0.1,0,0,0,0,0,0,0,,0,20,10,50,0,20,0,0,0,0,0,10,10,10,0,Matches
764,Abdoulaye Doucouré\02b29014,ml MLI,MF,Everton,eng Premier League,28,1993,28.2,2.7,1.6,1.31,1.28,0.11,0.92,2.48,37.1,1.56,23.3,6.35,27.3,8.79,10.9,3.55,1.49,0.28,0,1.21,1.45,4.15,1.17,0,Matches
765,Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,fr Ligue 1,21,2000,32.7,2.63,2.05,1.35,1.04,0.24,0.8,2.02,39.4,1.22,15.2,5.5,36.2,5.87,7.61,1.71,0.95,0.21,0,0.73,2.26,4.89,0.58,0,Matches
766,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,fr Ligue 1,20,2001,1.7,7.06,3.53,5.88,1.18,0,1.76,4.71,37.5,2.94,19.4,8.24,42.4,10.6,7.06,1.76,2.35,0,0,2.35,2.94,10,2.35,0,Matches
767,Ismaël Doukouré\0512a60a,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,0.2,0,0,0,0,0,0,0,,0,15,0,0,0,15,0,0,0,0,0,0,0,10,0,Matches
768,Kamory Doumbia\9226aa22,ml MLI,MFFW,Reims,fr Ligue 1,18,2003,3.9,2.82,1.79,1.03,1.28,0.51,0.77,3.08,25,2.31,21.5,6.15,28.6,7.18,9.49,4.87,2.31,0.77,0,1.54,2.82,5.64,0.77,0,Matches
769,Moussa Doumbia\6481421d,ml MLI,FW,Reims,fr Ligue 1,26,1994,1,0,0,0,0,0,0,1,0,1,16,4,25,0,9,7,0,0,0,0,0,0,0,0,Matches
770,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,fr Ligue 1,24,1996,24.7,1.3,0.93,0.61,0.45,0.24,0.53,1.26,41.9,0.73,10.7,2.55,23.9,3.6,4.62,2.47,2.35,0.16,0,2.19,2.23,3.52,1.42,0.04,Matches
771,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,eng Premier League,23,1997,10.1,1.68,0.69,0.59,0.79,0.3,0.79,3.17,25,2.38,26.7,4.85,18.1,6.63,12,8.12,0.99,0.1,0,0.89,0.89,2.57,0.2,0,Matches
772,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,it Serie A,23,1997,6.2,0,0,0,0,0,0,0,,0,0.16,0,0,0.16,0,0,0,0,0,0,0,0,0,0,Matches
773,Radu Drăgușin\620922ed,ro ROU,DF,Sampdoria,it Serie A,19,2002,6.9,0.87,0.29,0.58,0.29,0,0.43,1.01,42.9,0.58,13.8,4.35,31.6,6.96,5.94,0.87,2.03,0.58,0,1.45,1.88,2.75,4.2,0,Matches
774,Radu Drăgușin\620922ed,ro ROU,DF,Salernitana,it Serie A,19,2002,5.4,1.3,0.74,0.93,0.19,0.19,0.37,1.48,25,1.11,9.44,2.96,31.4,5.37,3.52,0.56,1.67,0.74,0,0.93,3.89,5.19,3.7,0,Matches
775,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,eng Premier League,19,2001,1.4,4.29,2.14,2.86,1.43,0,1.43,2.86,50,1.43,20.7,5.71,27.6,11.4,7.14,2.14,1.43,0,0,1.43,2.14,6.43,1.43,0,Matches
776,Julian Draxler\1a992676,de GER,FWMF,Paris S-G,fr Ligue 1,27,1993,6.1,0.66,0.66,0,0.49,0.16,0.16,0.98,16.7,0.82,8.2,2.79,34,1.31,4.26,2.62,0.66,0,0,0.66,0.66,1.31,0.66,0,Matches
777,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,0,0,0,0,0,0,0,,0,0.19,0.13,66.7,0.19,0,0,0,0,0,0,0,0,0,0,Matches
778,Domingos Duarte\93090f69,pt POR,DF,Granada,es La Liga,26,1995,18.7,1.07,0.48,0.59,0.43,0.05,0.32,0.53,60,0.21,6.52,2.19,33.6,3.48,2.73,0.32,1.76,1.12,0.05,0.64,1.39,2.46,5.24,0.16,Matches
779,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,es La Liga,32,1989,19.7,0.96,0.71,0.56,0.41,0,0.3,0.71,42.9,0.41,7.82,2.74,35.1,3.91,3.5,0.41,1.27,0.56,0,0.71,1.37,2.34,5.18,0,Matches
780,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,es La Liga,25,1995,29.1,2.71,1.37,1.51,1,0.21,1.17,2.58,45.3,1.41,13.4,3.78,28.1,6.6,5.05,1.79,2.71,0.21,0,2.51,2.3,5.02,3.44,0,Matches
781,Leo Dubois\ff0ab48c,fr FRA,DF,Lyon,fr Ligue 1,26,1994,19.4,2.89,1.91,1.65,0.88,0.36,1.7,2.94,57.9,1.24,14.7,4.43,30.2,5.93,5.72,3.04,2.27,0.15,0.1,2.11,1.44,4.33,1.6,0,Matches
782,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,0,0,0,0,0,0,0.08,0,0.08,0.19,0.04,20,0.19,0,0,0,0,0,0,0,0,0,0,Matches
783,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,de Bundesliga,26,1994,17.9,1.23,1.01,0.22,0.67,0.34,0.45,1.51,29.6,1.06,20.9,6.65,31.8,3.24,10.3,7.32,0.89,0.11,0,0.78,1.56,2.79,0.61,0,Matches
784,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,12.6,1.43,1.03,0.56,0.63,0.24,0.4,1.27,31.3,0.87,22.9,5.63,24.6,5.48,10.9,6.59,1.11,0,0,1.11,1.27,2.7,0.32,0,Matches
785,Shane Duffy\7314bba4,ie IRL,DF,Brighton,eng Premier League,29,1992,16,1,0.56,0.75,0.06,0.19,0.31,0.81,38.5,0.5,5.31,1.19,22.4,3.13,1.94,0.25,2.19,1.19,0.06,1,1.13,2.13,5.69,0.06,Matches
786,Unai Dufur\c261b5dd,es ESP,DF,Osasuna,es La Liga,22,1999,1,1,1,0,1,0,0,0,,0,7,3,42.9,4,3,0,1,0,0,1,3,4,3,0,Matches
787,Denzel Dumfries\481c9ece,nl NED,DF,Inter,it Serie A,25,1996,22.5,1.78,1.11,0.58,0.71,0.49,0.58,1.38,41.9,0.8,13,4.18,32.2,3.73,5.02,4.22,1.29,0.36,0,0.93,1.16,2.93,1.2,0,Matches
788,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,2.2,4.09,1.82,2.73,0.91,0.45,2.27,3.64,62.5,1.36,14.1,5.45,38.7,6.82,5.91,1.36,1.36,0,0,1.36,1.82,5.91,4.09,0.45,Matches
789,Alfred Duncan\528492ea,gh GHA,MF,Fiorentina,it Serie A,28,1993,21.5,1.63,1.07,0.65,0.6,0.37,0.51,1.63,31.4,1.12,16.5,5.35,32.4,3.91,7.72,4.88,1.16,0.19,0,0.98,1.07,2.7,0.47,0,Matches
790,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,eng Premier League,29,1991,28.6,0.7,0.38,0.31,0.35,0.03,0.21,0.45,46.2,0.24,4.37,1.68,38.4,2.59,1.43,0.35,1.47,0.94,0,0.52,1.61,2.31,4.16,0.1,Matches
791,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,de Bundesliga,29,1992,5.3,2.83,1.13,1.13,1.13,0.57,2.08,3.77,55,1.7,13.4,4.72,35.2,3.58,6.98,2.83,1.32,0.19,0,1.13,2.08,4.91,2.26,0,Matches
792,Hugo Duro\37e103f8,es ESP,DFMF,Getafe,es La Liga,21,1999,0.1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,Matches
793,Hugo Duro\37e103f8,es ESP,FWMF,Valencia,es La Liga,21,1999,20.4,1.52,0.98,0.59,0.74,0.2,0.54,1.96,27.5,1.42,25.7,6.86,26.7,5.1,11.2,9.41,1.47,0.1,0,1.37,0.39,1.91,0.64,0.05,Matches
794,Jean-Kevin Duverne\0cbc8baa,fr FRA,DF,Brest,fr Ligue 1,24,1997,33.4,2.25,1.32,1.41,0.69,0.15,1.08,2.63,40.9,1.56,16.4,5.24,31.9,8.53,5.99,1.92,1.89,0.24,0.03,1.65,2.31,4.55,2.75,0.03,Matches
795,Paulo Dybala\e0921a4f,ar ARG,FWMF,Juventus,it Serie A,27,1993,22.9,1.14,0.66,0.26,0.44,0.44,0.22,1.44,15.2,1.22,14.5,3.97,27.5,3.19,5.81,5.46,1.05,0,0,1.05,0.83,1.97,0.13,0,Matches
796,Edin Džeko\3bb7f478,ba BIH,FW,Inter,it Serie A,35,1986,27.4,0.84,0.66,0.29,0.29,0.26,0.36,0.88,41.7,0.51,10.6,3.25,30.6,1.2,5,4.42,0.88,0.26,0,0.62,0.29,1.13,1.06,0,Matches
797,Enzo Ebosse\9ba7b4fa,cm CMR,DF,Angers,fr Ligue 1,22,1999,21,1.57,0.67,1.1,0.38,0.1,0.57,1.24,46.2,0.67,11.1,3.29,29.6,5.33,4.52,1.24,1.24,0.38,0,0.86,1.95,3.52,2.05,0,Matches
798,Tyronne Ebuehi\6af30900,ng NGA,DF,Venezia,it Serie A,25,1995,12.6,1.9,1.19,1.19,0.4,0.32,0.63,1.27,50,0.63,14.1,3.65,25.8,6.11,5.63,2.38,2.3,0.24,0,2.06,1.83,3.73,2.3,0,Matches
799,Ederson\3bb7b8b4,br BRA,GK,Manchester City,eng Premier League,27,1993,37,0,0,0,0,0,0,0.05,0,0.05,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.03,Matches
800,Éderson\a9202def,br BRA,MF,Salernitana,it Serie A,22,1999,12.7,3.07,1.81,1.42,1.1,0.55,0.87,1.73,50,0.87,19.4,5.59,28.7,6.93,8.35,4.17,1.02,0.31,0,0.71,1.89,4.96,1.34,0,Matches
801,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,eng Premier League,23,1998,17.4,0.98,0.75,0.11,0.4,0.46,0.11,1.09,10.5,0.98,19.5,5.63,28.8,2.59,8.16,8.79,1.38,0.29,0,1.09,0.63,1.61,0.92,0,Matches
802,CJ Egan-Riley\d313e8ff,eng ENG,DF,Manchester City,eng Premier League,18,2003,0,1,1,1,0,0,1,1,100,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
803,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,de Bundesliga,24,1996,24.4,2.05,1.19,0.86,0.94,0.25,0.82,1.89,43.5,1.07,17.8,5.49,30.9,6.19,8.2,3.4,2.13,0.57,0,1.56,1.39,3.44,1.48,0.04,Matches
804,Lilian Egloff\2f7fec15,de GER,FWMF,Stuttgart,de Bundesliga,18,2002,0.3,3.33,3.33,0,3.33,0,0,0,,0,46.7,6.67,14.3,0,20,26.7,0,0,0,0,0,3.33,3.33,0,Matches
805,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,de Bundesliga,26,1995,7.6,3.55,1.84,2.89,0.66,0,1.32,2.63,50,1.32,20.9,7.37,35.2,11.1,6.71,3.16,2.76,0.66,0,2.11,2.24,5.79,2.76,0,Matches
806,Julian Eitschberger\943b9602,de GER,DF,Hertha BSC,de Bundesliga,17,2004,0.5,0,0,0,0,0,0,0,,0,10,8,80,8,0,2,6,2,0,4,2,2,8,0,Matches
807,Albin Ekdal\f503ea63,se SWE,MF,Sampdoria,it Serie A,32,1989,18.2,2.47,1.48,0.88,1.26,0.33,1.1,2.75,40,1.65,19.2,5.93,30.9,7.64,8.9,2.69,2.14,0.38,0,1.76,2.2,4.67,1.65,0,Matches
808,Hugo Ekitike\5b92d896,fr FRA,FW,Reims,fr Ligue 1,19,2002,14.1,1.21,0.92,0.85,0.21,0.14,0.14,0.43,33.3,0.28,18.1,4.18,23.1,2.98,7.94,7.16,0.99,0.14,0,0.85,1.06,2.27,0.99,0,Matches
809,Jurgen Ekkelenkamp\73d6a176,nl NED,MFFW,Hertha BSC,de Bundesliga,21,2000,8,1.13,0.63,0.38,0.75,0,0.38,0.88,42.9,0.5,15.4,3.88,25.2,2.75,7.63,5,1.63,0.38,0,1.25,1.13,2.25,0.5,0,Matches
810,Caleb Ekuban\7afbd2c3,gh GHA,FWMF,Genoa,it Serie A,27,1994,19.1,1.31,0.73,0.26,0.79,0.26,0.31,0.99,31.6,0.68,16.6,5.6,33.8,1.57,8.43,6.6,1.83,0.37,0,1.47,0.47,1.78,0.47,0,Matches
811,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,eng Premier League,19,2002,13.5,1.85,1.26,0.89,0.74,0.22,0.59,1.93,30.8,1.33,21.4,5.93,27.7,6.89,9.19,5.33,1.78,0.15,0,1.63,1.41,3.26,0.44,0,Matches
812,Alberth Elis\104b4ad3,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,15.7,1.4,0.96,0.38,0.57,0.45,0.45,1.34,33.3,0.89,18.5,5.48,29.6,3.82,7.77,6.94,1.08,0,0,1.08,0.96,2.36,0.45,0,Matches
813,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,eng Premier League,18,2003,3.8,0.79,0.26,0.26,0,0.53,0.26,1.84,14.3,1.58,24.7,5.53,22.3,5.53,13.2,6.05,2.37,0.26,0,2.11,0.79,1.58,1.05,0,Matches
814,Elif Elmas\cf007308,mk MKD,FWMF,Napoli,it Serie A,21,1999,18,1.11,0.67,0.39,0.39,0.33,0.61,1.5,40.7,0.89,15.3,4.11,26.9,2.67,7.17,5.44,1.06,0.11,0,0.94,0.83,1.94,0.83,0,Matches
815,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,eng Premier League,29,1992,9,1.89,1,1.11,0.67,0.11,0.33,0.78,42.9,0.44,12,4.22,35.2,5.44,5.56,1,1,0.11,0,0.89,2,3.89,1.33,0,Matches
816,Aritz Elustondo\f7dc2ae5,es ESP,DF,Real Sociedad,es La Liga,27,1994,23.4,1.11,0.68,0.85,0.26,0,0.26,0.6,42.9,0.34,7.18,2.65,36.9,3.76,2.78,0.64,1.37,0.6,0,0.77,2.14,3.25,4.4,0,Matches
817,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27,1.7,0.89,1.15,0.56,0,0.7,1.33,52.8,0.63,7.3,2.81,38.6,4.07,3,0.22,1.93,0.89,0.04,1.04,2.19,3.89,4.07,0,Matches
818,Sepe Elye Wahi\0d7b6576,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,19.8,1.16,0.71,0.45,0.4,0.3,0.15,0.86,17.6,0.71,15.8,4.39,27.9,2.78,5.76,7.22,0.91,0.05,0,0.86,0.3,1.46,0.15,0,Matches
819,Mohamed Elyounoussi\68dc0dac,no NOR,MFFW,Southampton,eng Premier League,26,1994,22.7,2.03,1.45,0.62,1.06,0.35,0.44,1.37,32.3,0.93,22,6.87,31.3,6.34,10.4,5.29,1.63,0.18,0,1.45,0.84,2.86,1.06,0,Matches
820,Adri Embarba\db8f0eba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,1.9,1.13,0.95,0.54,0.41,0.63,2.13,29.8,1.49,15.8,3.94,24.9,4.57,6.97,4.25,1.9,0.14,0,1.76,1.31,3.21,1.22,0,Matches
821,Breel Embolo\0b4f388a,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,1.2,0.87,0.08,0.71,0.41,0.33,0.66,50,0.33,16.3,5.27,32.4,0.87,7.63,7.76,0.71,0.17,0,0.54,0.46,1.66,0.29,0,Matches
822,Emerson\df8b52a5,br BRA,DF,Tottenham,eng Premier League,22,1999,25.4,3.39,1.54,2.2,0.94,0.24,1.1,2.36,46.7,1.26,19.7,4.96,25.2,9.65,6.97,3.07,2.2,0.16,0,2.05,1.38,4.76,3.11,0,Matches
823,Emerson\df8b52a5,br BRA,DF,Barcelona,es La Liga,22,1999,1,4,3,2,2,0,2,4,50,2,26,6,23.1,11,11,4,1,0,0,1,2,6,1,0,Matches
824,Renaud Emond\5c9ac7f0,be BEL,MFFW,Nantes,fr Ligue 1,29,1991,2.1,1.43,0.95,0,0.95,0.48,0,1.9,0,1.9,16.7,3.33,20,2.38,6.67,7.62,1.9,0.48,0.48,1.43,0.95,2.38,0.95,0,Matches
825,Youssef En-Nesyri\04e17fd5,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,0.63,0.35,0.28,0.21,0.14,0.21,0.85,25,0.63,15.9,3.59,22.6,1.06,7.68,7.18,0.92,0.35,0,0.56,0.35,0.99,1.27,0,Matches
826,Keita Endo\1a83027b,jp JPN,MFFW,Union Berlin,de Bundesliga,23,1997,0.6,3.33,0,3.33,0,0,1.67,3.33,50,1.67,16.7,3.33,20,6.67,6.67,3.33,1.67,0,0,1.67,0,3.33,0,0,Matches
827,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,2.3,1.3,1.09,1.06,0.16,0.71,1.99,35.9,1.27,20.7,6.86,33.1,7.92,9.69,3.11,2.08,0.43,0,1.65,1.83,4.13,1.86,0,Matches
828,Christian Eriksen\980522ec,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,1.73,0.96,0.67,0.77,0.29,0.87,1.25,69.2,0.38,14.4,3.08,21.3,3.65,8.27,2.5,1.25,0.1,0,1.15,0.96,2.69,1.06,0,Matches
829,Martin Erlic\0fee6bda,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,1.15,0.77,0.77,0.28,0.1,0.42,0.8,52.2,0.38,10.2,3.43,33.7,6.47,3.32,0.38,2.55,1.57,0.03,0.98,2.2,3.36,4.48,0,Matches
830,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,2.08,1.11,0.76,1.25,0.07,0.76,2.5,30.6,1.74,18.9,5.35,28.3,5.63,10.8,2.5,2.36,0.21,0,2.15,2.29,4.38,1.88,0,Matches
831,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,10,0,10,0,0,10,10,100,0,30,0,0,30,0,0,20,10,0,10,0,10,10,0,Matches
832,Aarón Escandell\67669ce7,es ESP,GK,Granada,es La Liga,25,1995,3.2,0,0,0,0,0,0,0.31,0,0.31,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0.31,0,Matches
833,Sergio Escudero\b0616e3d,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,2.96,1.45,1.45,1.19,0.31,1.26,2.89,43.5,1.64,14.8,4.72,31.9,6.73,5.97,2.08,2.26,0.25,0,2.01,2.08,5.03,2.83,0,Matches
834,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,es La Liga,29,1992,37,3.05,2.11,1.65,1.05,0.35,1.16,3.14,37.1,1.97,19.6,6.03,30.8,9.84,7.14,2.62,2.27,0.32,0,1.95,2.46,5.51,2.32,0.05,Matches
835,Michael Esser\83e0eeb4,de GER,GK,Bochum,de Bundesliga,33,1987,3,0,0,0,0,0,0,0.33,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,Matches
836,Estanis\ace50e9f,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,10,10,0,10,0,10,10,100,0,60,30,50,20,40,0,0,0,0,0,10,20,0,0,Matches
837,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,1.65,0.92,1.21,0.39,0.05,0.68,1.31,51.9,0.63,11.9,4.03,33.7,6.99,4.71,0.24,1.7,1.17,0.05,0.53,2.14,3.79,3.88,0.05,Matches
838,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,2.17,1.14,1.26,0.63,0.29,1.03,1.66,62.1,0.63,13.2,4.74,35.9,6.97,4.11,2.11,2.11,0.34,0,1.77,2.74,4.91,1.37,0.17,Matches
839,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,2.67,2.22,1.11,1.56,0,0.89,1.56,57.1,0.67,14.4,4.89,33.8,6.44,7.11,0.89,1.11,0.22,0,0.89,1.78,4.44,1.33,0,Matches
840,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,eng Premier League,33,1988,15,1.8,1.2,1.2,0.47,0.13,1.07,1.87,57.1,0.8,8.2,3.27,39.8,5.13,2.73,0.33,1.47,0.87,0,0.6,2.07,3.87,4.07,0,Matches
841,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,1.49,0.75,0.6,0.45,0.45,0.9,1.79,50,0.9,12.8,3.58,27.9,2.69,7.16,2.99,1.04,0.15,0,0.9,1.19,2.69,0.15,0,Matches
842,Abdessamad Ezzalzouli\bed68338,ma MAR,FWDF,Barcelona,es La Liga,19,2001,6.4,2.34,1.56,1.41,0.63,0.31,0.78,1.25,62.5,0.47,15.8,5.16,32.7,4.38,6.09,5.31,0.94,0,0,0.94,1.72,4.06,0,0,Matches
843,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,36,1985,37,0,0,0,0,0,0,0,,0,0.03,0.03,100,0.03,0,0,0,0,0,0,0,0,0,0,Matches
