,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
65,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,0.2,2.06,0.74,35.7,2.06,0.73,0.1,0.27,15.5,0,0,0,0.34,0.34,0.17,-0.15,-0.15,Matches
66,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,28,1992,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
67,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30,1991,24.3,0,0.29,0.12,42.9,0.29,0.12,0,0,24.1,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
68,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,0.06,2.55,0.91,35.7,2.54,0.91,0.02,0.07,18.7,0.06,0,0,0.21,0.21,0.08,-0.15,-0.15,Matches
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,0.14,0.55,0.27,50,0.55,0.27,0,0,18.2,0,0.14,0.14,0.21,0.1,0.18,-0.07,-0.1,Matches
70,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,0,0.79,0,0,0.8,0,0,,19.3,0,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
71,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,0.05,1.68,0.37,21.9,1.68,0.37,0.03,0.14,18.7,0,0,0,0.11,0.11,0.06,-0.06,-0.06,Matches
72,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,0.17,1.78,0.41,23.3,1.79,0.42,0.09,0.4,18.9,0.37,0,0,0.14,0.14,0.08,0.03,0.03,Matches
73,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,0.06,1.1,0.37,33.3,1.11,0.37,0.06,0.17,12.3,0,0,0,0.08,0.08,0.08,-0.02,-0.02,Matches
74,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36,1985,0.1,0,10,0,0,8.18,0,0,,8,0,0,0,2,2,0.23,-2,-2,Matches
75,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,0,0.39,0,0,0.39,0,0,,11.9,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
76,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,0.08,0.41,0.16,40,0.41,0.16,0.2,0.5,30.2,0,0,0,0.02,0.02,0.03,0.07,0.07,Matches
77,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0,0.22,0.22,100,0.22,0.22,0,0,18.4,0,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
78,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9,0.11,0.33,0.22,66.7,0.33,0.22,0.33,0.5,8.3,0,0,0,0.03,0.03,0.11,0.08,0.08,Matches
79,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0,1.11,0,0,1.14,0,0,,23.7,0,0,0,0,0,0.03,0,0,Matches
80,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,0,0.08,0.04,50,0.08,0.04,0,0,32.1,0,0,0,0,0,0.02,0,0,Matches
81,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,0,1.12,0.41,36.4,1.12,0.41,0,0,17,0,0,0,0.13,0.13,0.12,-0.13,-0.13,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
83,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
84,Wisdom Amey\35b4bc62,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
85,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,0.03,0.88,0.24,26.9,0.88,0.24,0.04,0.14,14.2,0,0,0,0.08,0.08,0.09,-0.05,-0.05,Matches
86,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,0.24,1.95,0.49,25,1.95,0.49,0.13,0.5,20.1,0.24,0,0,0.12,0.12,0.06,0.12,0.12,Matches
87,Nadiem Amiri\555d5edd,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,0,2.11,0.79,37.5,2.11,0.79,0,0,22.3,0.13,0,0,0.14,0.14,0.07,-0.14,-0.14,Matches
88,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,0,0.28,0.04,14.3,0.28,0.04,0,0,18.5,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
89,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,0.1,0.38,0.29,75,0.38,0.29,0.25,0.33,24.4,0,0,0,0.02,0.02,0.05,0.08,0.08,Matches
90,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,0,0.25,0.09,37.5,0.25,0.09,0,0,14,0.03,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
91,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28,1993,32.1,0.19,1.37,0.5,36.4,1.37,0.5,0.14,0.38,15.8,0,0,0,0.17,0.17,0.13,0.02,0.02,Matches
92,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30,1991,14,0.21,2.5,0.93,37.1,2.51,0.93,0.09,0.23,11.3,0,0,0,0.34,0.34,0.13,-0.12,-0.12,Matches
93,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28,1993,2,0,1.5,0.5,33.3,1.53,0.51,0,0,12.2,0,0,0,0.15,0.15,0.09,-0.15,-0.15,Matches
94,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,0,0.6,0.26,42.9,0.6,0.26,0,0,19.6,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
95,Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
96,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,0.07,0.59,0.16,27.8,0.59,0.16,0.11,0.4,13,0,0,0,0.05,0.05,0.09,0.01,0.01,Matches
97,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,0.2,1.49,0.35,23.3,1.49,0.35,0.13,0.57,17.5,0.05,0,0,0.16,0.16,0.11,0.04,0.04,Matches
98,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,31,1989,12,0.08,0.92,0.25,27.3,0.91,0.25,0.09,0.33,27.4,0,0,0,0.02,0.02,0.02,0.07,0.07,Matches
99,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,0.08,0.59,0.27,46.7,0.59,0.27,0.13,0.29,16.4,0,0,0,0.05,0.05,0.1,0.02,0.02,Matches
100,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
101,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,34,1986,7.7,0,0.91,0.13,14.3,0.91,0.13,0,0,18.4,0,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
102,Janis Antiste\38d9ce53,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,0.11,1.25,0.23,18.2,1.24,0.23,0.09,0.5,10.2,0,0,0,0.16,0.16,0.13,-0.05,-0.05,Matches
103,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,0.07,0.8,0.21,26.1,0.8,0.21,0.09,0.33,13.8,0,0,0,0.06,0.06,0.07,0.01,0.01,Matches
104,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
105,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31,1990,33,0.3,2.52,0.82,32.5,2.51,0.82,0.12,0.37,14.3,0,0,0.03,0.34,0.33,0.13,-0.03,-0.02,Matches
106,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,0.08,2.3,0.79,34.5,2.31,0.8,0.03,0.1,14.9,0,0,0,0.2,0.2,0.09,-0.12,-0.12,Matches
107,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,0.22,2.77,0.9,32.5,2.77,0.9,0.08,0.24,17.6,0,0,0,0.28,0.28,0.1,-0.07,-0.07,Matches
