,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
120,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,0.13,2.99,0.89,29.8,2.99,0.89,0.04,0.14,17,0,0,0,0.27,0.27,0.09,-0.15,-0.15,Matches
121,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,0.12,2.32,0.55,23.7,2.32,0.55,0.05,0.22,19.8,0,0,0,0.17,0.17,0.07,-0.05,-0.05,Matches
122,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,32,1989,29.9,0.47,3.04,1.07,35.2,3.04,1.07,0.13,0.38,14.4,0.1,0.07,0.1,0.49,0.42,0.14,-0.02,-0.02,Matches
123,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,0.12,1.2,0.42,35,1.2,0.42,0.1,0.29,31.7,0.39,0,0,0.05,0.05,0.04,0.08,0.08,Matches
124,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,26,1994,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
125,Tolgay Arslan\963a328b,de GER,MF,Udinese,it Serie A,30,1990,18.4,0.05,1.25,0.49,39.1,1.25,0.49,0.04,0.11,21.6,0.05,0,0,0.07,0.07,0.05,-0.01,-0.01,Matches
126,Arthur\a820e429,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,0.24,2.77,0.96,34.8,2.76,0.96,0.09,0.25,9.3,0,0,0,0.45,0.45,0.16,-0.2,-0.2,Matches
127,Santiago Arzamendia\759d8dd7,py PAR,MFDF,Cádiz,es La Liga,23,1998,5.2,0.19,1.15,0.19,16.7,1.15,0.19,0.17,1,35.6,0,0,0,0.04,0.04,0.03,0.15,0.15,Matches
128,Takuma Asano\13ddc856,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,0.17,1.79,0.61,34.4,1.79,0.62,0.09,0.27,17,0,0,0,0.2,0.2,0.11,-0.03,-0.03,Matches
129,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,0,0.49,0.04,7.7,0.49,0.04,0,0,17.1,0,0,0,0.05,0.05,0.09,-0.05,-0.05,Matches
130,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32,1989,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
131,Alejandro Asensio\b4c23f36,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,10,0,0,7.5,0,0,,9.5,0,0,0,0,0,0.03,0,0,Matches
132,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,0.52,3.33,1.61,48.4,3.33,1.61,0.16,0.32,18.6,0.05,0,0,0.39,0.39,0.11,0.14,0.14,Matches
133,Harrison Ashby\b391383a,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
134,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,0,0.83,0,0,0.84,0,0,,17.5,0,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
135,Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
136,Kristjan Asllani\0fdcef0e,al ALB,MF,Empoli,it Serie A,19,2002,15,0.07,1.07,0.4,37.5,1.06,0.4,0.06,0.17,24.5,0.13,0,0,0.05,0.05,0.05,0.01,0.01,Matches
137,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,0.52,2.45,1.08,44,2.45,1.08,0.18,0.41,16,0.2,0.09,0.15,0.43,0.32,0.13,0.09,0.12,Matches
138,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,0,0.88,0.59,66.7,0.88,0.58,0,0,8.7,0,0,0,0.09,0.09,0.11,-0.09,-0.09,Matches
139,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,0,0.34,0,0,0.34,0,0,,15,0,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
140,Youcef Atal\6a827d8e,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,0.16,1.1,0.39,35.7,1.11,0.39,0.14,0.4,18.4,0,0,0,0.07,0.07,0.06,0.09,0.09,Matches
141,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,0.35,2.87,1.39,48.5,2.86,1.39,0.12,0.25,14.2,0,0,0.17,0.5,0.36,0.13,-0.16,-0.01,Matches
142,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,es La Liga,32,1989,12,0.92,3.17,1.67,52.6,3.16,1.66,0.29,0.55,11.3,0,0,0,0.59,0.59,0.19,0.33,0.33,Matches
143,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
144,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,0.04,0.26,0.08,28.6,0.26,0.08,0.14,0.5,17.9,0,0,0,0.02,0.02,0.06,0.02,0.02,Matches
145,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,0,2.22,0,0,2.14,0,0,,16.4,0,0,0,0.11,0.11,0.06,-0.11,-0.11,Matches
146,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,27,1994,8.8,0,0.45,0.23,50,0.45,0.23,0,0,15.5,0,0,0,0.05,0.05,0.11,-0.05,-0.05,Matches
147,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,0,0.98,0.18,18.2,0.98,0.18,0,0,15.1,0,0,0,0.07,0.07,0.07,-0.07,-0.07,Matches
148,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,0.29,2.88,0.72,25,2.89,0.72,0.08,0.33,24.5,0.19,0.05,0.05,0.2,0.16,0.06,0.09,0.08,Matches
149,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,0.62,2.73,1.24,45.5,2.73,1.24,0.2,0.43,12.9,0,0.08,0.08,0.58,0.51,0.19,0.04,0.02,Matches
150,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,0,0.67,0,0,0.67,0,0,,25.9,0,0,0,0,0,0.04,0,0,Matches
151,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,0.13,1.56,0.36,22.9,1.56,0.36,0.09,0.38,16.4,0.04,0,0,0.17,0.17,0.11,-0.03,-0.03,Matches
152,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,26,1994,15,0.07,0.33,0.07,20,0.33,0.07,0.2,1,15.7,0.13,0,0,0.02,0.02,0.06,0.05,0.05,Matches
153,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,0.08,0.75,0.12,15.8,0.75,0.12,0.11,0.67,12.8,0,0,0,0.06,0.06,0.09,0.02,0.02,Matches
154,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,0,0.7,0.7,100,0.7,0.7,0,0,21.1,0.23,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
155,Sardar Azmoun\10549b49,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4,0.25,2.5,1,40,2.51,1,0.1,0.25,12.4,0,0,0,0.57,0.57,0.23,-0.33,-0.33,Matches
156,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,31,1989,23,0.04,0.57,0.17,30.8,0.57,0.17,0.08,0.25,13.6,0,0,0,0.05,0.05,0.09,-0.01,-0.01,Matches
157,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,0.09,1.02,0.37,36.4,1.02,0.37,0.09,0.25,24.3,0,0,0,0.07,0.07,0.07,0.02,0.02,Matches
158,Carlos Bacca\09a9e921,co COL,FW,Granada,es La Liga,34,1986,5.7,0,1.58,0.35,22.2,1.58,0.35,0,0,14.4,0,0,0,0.14,0.14,0.08,-0.14,-0.14,Matches
159,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27,1994,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
160,Loïc Bade\114bbdee,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,0,0.64,0,0,0.64,0,0,,14.4,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
161,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,0.03,0.7,0.16,22.7,0.7,0.16,0.05,0.2,20.9,0,0,0,0.04,0.04,0.05,-0.01,-0.01,Matches
162,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,29,1992,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
163,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,0.05,0.69,0.2,28.6,0.69,0.2,0.07,0.25,9.4,0,0,0,0.07,0.07,0.11,-0.02,-0.02,Matches
164,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,0,1.33,0,0,1.33,0,0,,15.8,0,0,0,0.07,0.07,0.05,-0.07,-0.07,Matches
165,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,es La Liga,21,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
166,Nicola Bagnolini\ad263695,it ITA,GK,Bologna,it Serie A,17,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
167,Issa Bah\956a78ea,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
168,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,0.25,1.97,1.15,58.3,1.97,1.15,0.13,0.21,16.5,0,0,0,0.31,0.31,0.16,-0.07,-0.07,Matches
169,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,0.12,2.47,0.94,38.1,2.48,0.95,0.05,0.13,18.7,0.47,0,0,0.19,0.19,0.08,-0.07,-0.07,Matches
170,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
171,Dénys Bain\5065d67d,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
172,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
173,Nedim Bajrami\f42d6c13,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,0.26,2.24,0.79,35.3,2.23,0.79,0.06,0.17,20.2,0.35,0.13,0.13,0.27,0.17,0.08,-0.01,-0.04,Matches
174,Cédric Bakambu\0af4dcf0,cd COD,FW,Marseille,fr Ligue 1,30,1991,4,1,4.75,2,42.1,4.8,2.02,0.21,0.5,13,0,0,0,0.78,0.78,0.16,0.23,0.23,Matches
175,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
176,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Milan,it Serie A,26,1994,5.6,0,0.71,0,0,0.72,0,0,,18.6,0,0,0,0.05,0.05,0.07,-0.05,-0.05,Matches
177,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,0,0.45,0.1,22.2,0.44,0.1,0,0,20.4,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
178,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,0.11,1.36,0.29,21.6,1.36,0.29,0.08,0.38,20,0,0,0,0.08,0.08,0.06,0.03,0.03,Matches
179,Dilane Bakwa\2b5a35e5,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,0.5,0,4,2,50,4.19,2.09,0,0,17.3,0,0,0,0.8,0.8,0.18,-0.8,-0.8,Matches
180,Tommaso Baldanzi\102e2599,it ITA,FW,Empoli,it Serie A,18,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
181,Alejandro Balde\5ccc9672,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,0,0.48,0,0,0.48,0,0,,21.6,0,0,0,0,0,0.03,0,0,Matches
182,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
183,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,it Serie A,26,1995,13.7,0.22,1.9,0.66,34.6,1.9,0.66,0.12,0.33,12.2,0,0,0,0.23,0.23,0.12,-0.01,-0.01,Matches
184,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,0.32,4.84,1.94,40,4.82,1.93,0.07,0.17,20,0.65,0,0,0.39,0.39,0.08,-0.06,-0.06,Matches
185,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,0,0.27,0.09,33.3,0.27,0.09,0,0,25.3,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
186,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,0,0.19,0,0,0.19,0,0,,8.5,0,0,0,0.01,0.01,0.06,-0.01,-0.01,Matches
187,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35,0.03,0.43,0.09,20,0.43,0.09,0.07,0.33,20.3,0,0,0,0.02,0.02,0.04,0.01,0.01,Matches
188,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,it Serie A,24,1997,5,0,0.6,0.2,33.3,0.61,0.2,0,0,13.3,0,0,0,0.1,0.1,0.18,-0.1,-0.1,Matches
189,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,0,3.75,0,0,3.86,0,0,,14,0,0,0,0.37,0.37,0.09,-0.37,-0.37,Matches
190,Abdoulaye Bamba\7fecbcdb,ci CIV,DF,Angers,fr Ligue 1,31,1990,5.1,0,0.2,0,0,0.2,0,0,,8,0,0,0,0.02,0.02,0.11,-0.02,-0.02,Matches
191,Jonathan Bamba\b2bd0f6c,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27,0.04,1.89,0.44,23.5,1.89,0.44,0.02,0.08,19.3,0.07,0,0,0.12,0.12,0.06,-0.08,-0.08,Matches
192,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,0.32,3.23,0.81,25,3.22,0.81,0.1,0.4,13.6,0,0,0,0.63,0.63,0.2,-0.31,-0.31,Matches
193,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,it Serie A,26,1995,21.7,0.09,1.84,0.55,30,1.84,0.55,0.05,0.17,18.5,0,0,0,0.12,0.12,0.06,-0.03,-0.03,Matches
194,Mattia Bani\0821331c,it ITA,DF,Genoa,it Serie A,27,1993,13.5,0,0.67,0,0,0.67,0,0,,8.3,0,0,0,0.09,0.09,0.13,-0.09,-0.09,Matches
195,Simon Banza\be47b750,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,0.71,4.29,2.86,66.7,4.35,2.9,0.17,0.25,14.4,0,0,0,0.86,0.86,0.2,-0.14,-0.14,Matches
196,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,0.1,1.19,0.4,33.3,1.19,0.4,0.08,0.25,18.9,0,0,0,0.07,0.07,0.06,0.03,0.03,Matches
197,Antonín Barák\01efac19,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,26,0.42,1.85,0.77,41.7,1.85,0.77,0.15,0.35,14.8,0.08,0.15,0.15,0.37,0.25,0.13,0.06,0.02,Matches
198,Barbero\981c1863,es ESP,MFFW,Osasuna,es La Liga,22,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
199,Danilo Barbosa\0557ff4f,br BRA,DF,Nice,fr Ligue 1,25,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
200,Barcia\0c717ae6,es ESP,DF,Granada,es La Liga,20,2000,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
201,Bradley Barcola\a0d55a09,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,0,1.72,0.69,40,1.71,0.68,0,0,12.1,0,0,0,0.17,0.17,0.09,-0.17,-0.17,Matches
202,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,0.07,0.17,0.07,40,0.17,0.07,0.4,1,15.9,0,0,0,0.03,0.03,0.19,0.04,0.04,Matches
203,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,0.16,2.17,0.37,17.1,2.17,0.37,0.02,0.14,23.6,0.48,0.11,0.11,0.2,0.12,0.06,-0.04,-0.07,Matches
204,Francesco Bardi\0acda699,it ITA,GK,Bologna,it Serie A,29,1992,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
205,Keidi Bare\03049c8c,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,0.06,0.3,0.06,20,0.3,0.06,0.2,1,12.7,0,0,0,0.03,0.03,0.11,0.03,0.03,Matches
206,Nicolò Barella\6928979a,it ITA,MF,Inter,it Serie A,24,1997,32.4,0.09,2.1,0.37,17.6,2.1,0.37,0.04,0.25,19.7,0,0,0,0.16,0.16,0.08,-0.07,-0.07,Matches
207,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,0.21,1.77,0.63,35.3,1.77,0.62,0.12,0.33,17.8,0,0,0,0.19,0.19,0.11,0.02,0.02,Matches
208,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,eng Premier League,27,1993,2,0.5,4.5,2,44.4,4.53,2.01,0.11,0.25,20.9,0,0,0,0.6,0.6,0.13,-0.1,-0.1,Matches
209,Aymen Barkok\a2a85828,ma MAR,MFFW,Eint Frankfurt,de Bundesliga,23,1998,1.8,0,1.11,0.56,50,1.13,0.56,0,0,29.5,0,0,0,0,0,0.02,0,0,Matches
210,Ashley Barnes\2691c772,eng ENG,FW,Burnley,eng Premier League,31,1989,9,0.11,1.67,0.56,33.3,1.67,0.56,0,0,16,0,0.11,0.11,0.2,0.11,0.07,-0.09,-0.11,Matches
211,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,0.26,2.88,1.03,35.8,2.87,1.03,0.09,0.25,15.7,0,0,0,0.29,0.29,0.1,-0.03,-0.03,Matches
212,Antonio Barragán\487d9b09,es ESP,DF,Elche,es La Liga,34,1987,11.3,0,0.09,0,0,0.09,0,0,,13.3,0,0,0,0,0,0.03,0,0,Matches
213,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,0.05,1.61,0.45,28.1,1.61,0.45,0.03,0.11,18.2,0,0,0,0.12,0.12,0.08,-0.07,-0.07,Matches
214,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,0.16,1.31,0.33,25,1.32,0.33,0.13,0.5,16.2,0,0,0,0.07,0.07,0.04,0.1,0.1,Matches
215,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,0.11,0.44,0.22,50,0.44,0.22,0.25,0.5,24,0,0,0,0.02,0.02,0.03,0.09,0.09,Matches
216,Musa Barrow\e5bf73f3,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,0.25,3.04,1.18,38.9,3.04,1.18,0.08,0.21,20.3,0.13,0,0,0.23,0.23,0.08,0.03,0.03,Matches
217,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,0,0.43,0,0,0.43,0,0,,23,0,0,0,0,0,0.04,0,0,Matches
218,Marc Bartra\b742cc0d,es ESP,DF,Betis,es La Liga,30,1991,22.1,0.05,0.68,0.14,20,0.68,0.14,0.07,0.33,15.1,0,0,0,0.06,0.06,0.1,-0.02,-0.02,Matches
219,Daniele Baselli\ea06dd97,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,0,0.59,0,0,0.6,0,0,,7.3,0,0,0,0.18,0.18,0.29,-0.18,-0.18,Matches
220,Daniele Baselli\ea06dd97,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,0,1.56,0,0,1.55,0,0,,18.4,0,0,0,0.16,0.16,0.09,-0.16,-0.16,Matches
221,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,0,0.87,0,0,0.86,0,0,,30.2,0.43,0,0,0.04,0.04,0.06,-0.04,-0.04,Matches
222,Toma Bašić\80556f08,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,0,1.47,1.01,68.8,1.47,1.01,0,0,20.2,0.18,0,0,0.16,0.16,0.13,-0.16,-0.16,Matches
223,Amine Bassi\ced1d98f,fr FRA,MF,Metz,fr Ligue 1,23,1997,2,0,2,0.5,25,1.96,0.49,0,0,25,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
224,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
225,Alessandro Bastoni\75b86fb3,it ITA,DF,Inter,it Serie A,22,1999,25.7,0.04,0.35,0.08,22.2,0.35,0.08,0.11,0.5,19,0,0,0,0.02,0.02,0.06,0.02,0.02,Matches
226,Simone Bastoni\1ac232b8,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,0.12,1.1,0.24,21.4,1.1,0.24,0.11,0.5,22.8,0,0,0,0.07,0.07,0.06,0.05,0.05,Matches
227,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,0,0.63,0,0,0.62,0,0,,25,0,0,0,0,0,0.02,0,0,Matches
228,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,0,0.38,0.08,20,0.38,0.08,0,0,20.1,0,0,0,0.02,0.02,0.06,-0.02,-0.02,Matches
229,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,0,0.32,0.05,16.7,0.32,0.05,0,0,10.4,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
230,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
231,Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,0.04,0.54,0.17,30.8,0.54,0.17,0.08,0.25,8.7,0,0,0,0.06,0.06,0.11,-0.02,-0.02,Matches
232,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,de Bundesliga,33,1988,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
233,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21,0.33,2,0.81,40.5,2,0.81,0.17,0.41,13.2,0,0,0,0.35,0.35,0.18,-0.02,-0.02,Matches
234,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,es La Liga,26,1995,0.5,0,2,0,0,2,0,0,,14,0,0,0,0,0,0.03,0,0,Matches
235,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,26.8,0.52,2.31,0.97,41.9,2.31,0.97,0.19,0.46,12.5,0,0.07,0.11,0.52,0.43,0.19,0,0.01,Matches
236,Paul Baysse\2515040a,fr FRA,DF,Bordeaux,fr Ligue 1,33,1988,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
237,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,0.37,2.59,1.11,42.9,2.61,1.12,0.14,0.33,13.8,0,0,0,0.26,0.26,0.1,0.11,0.11,Matches
238,Bebé\d8712bf9,cv CPV,FWMF,Rayo Vallecano,es La Liga,31,1990,9.6,0.1,5.1,0.73,14.3,5.09,0.73,0.02,0.14,26.4,1.04,0,0,0.22,0.22,0.04,-0.11,-0.11,Matches
239,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,0.3,1.94,0.6,31.1,1.94,0.6,0.16,0.5,12,0,0,0,0.36,0.36,0.19,-0.06,-0.06,Matches
240,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,it Serie A,25,1996,34.8,0.06,0.55,0.14,26.3,0.55,0.14,0.11,0.4,12.6,0,0,0,0.03,0.03,0.06,0.03,0.03,Matches
241,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,0,0.22,0,0,0.22,0,0,,10.5,0,0,0,0.01,0.01,0.04,-0.01,-0.01,Matches
242,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,0.21,1.9,0.92,48.6,1.89,0.92,0.11,0.22,20.4,0.05,0,0,0.15,0.15,0.08,0.05,0.05,Matches
243,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,0.14,0.65,0.24,36.8,0.65,0.24,0.21,0.57,7.9,0,0,0,0.08,0.08,0.13,0.05,0.05,Matches
244,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,1.25,2.5,1.25,50,2.4,1.2,0.5,1,9.3,0,0,0,0.87,0.87,0.36,0.37,0.37,Matches
245,Donny van de Beek\50dc94ce,nl NED,MF,Everton,eng Premier League,24,1997,5.4,0.19,0.93,0.19,20,0.93,0.19,0.2,1,19.4,0,0,0,0.17,0.17,0.18,0.02,0.02,Matches
246,Asmir Begović\7b4de647,ba BIH,GK,Everton,eng Premier League,34,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
247,Valon Behrami\d3d758d8,ch SUI,MF,Genoa,it Serie A,36,1985,3.5,0,0.29,0,0,0.29,0,0,,13,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
248,Kevin Behrens\30ae134d,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,0.36,2.91,1.27,43.8,2.89,1.26,0.13,0.29,11.1,0,0,0,0.49,0.49,0.17,-0.13,-0.13,Matches
249,Youcef Belaïli\1a248246,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,0.33,1.74,0.65,37.5,1.75,0.65,0.19,0.5,15.1,0.22,0,0.11,0.32,0.22,0.12,0.01,0.11,Matches
250,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
